Refcode,metal,Atomic_number,Atomic_weight,Atomic_redius,M_electronegativity,Polarizability,Electron_affinity,Allen_en,Ghosh_en,Pauling_en,Inchikey
AHIRIU,Mo,42,95.95,1.54,3.546215,87.0,0.748,8.71,0.1312672,2.16,ROFVEXUMMXZLPA-UHFFFAOYSA-N
AHIRUG,Mn,25,54.938044,1.39,,68.0,,10.34,0.1352844,1.55,DGEZNRSVGBDHLK-UHFFFAOYSA-N
AHIVIZ,Mn,25,54.938044,1.39,,68.0,,10.34,0.1352844,1.55,MQSMIIJCRWDMDL-UHFFFAOYSA-N
AHMNAC,Mn,25,54.938044,1.39,,68.0,,10.34,0.1352844,1.55,UXTFKIJKRJJXNV-UHFFFAOYSA-N
AHONIW,Zn,30,65.38,1.22,,38.67,,9.395,0.15515179999999998,1.65,MQSMIIJCRWDMDL-UHFFFAOYSA-N
AHOVID,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,FPCOKBPZKDIARC-UHFFFAOYSA-N
AHOVID01,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,FPCOKBPZKDIARC-UHFFFAOYSA-N
AHUHIV,Pb,82,207.2,1.46,3.7083398,47.0,0.35674316,10.97,0.17791099999999999,1.8,OGNCVVRIKNGJHQ-UHFFFAOYSA-N
AJECOI,Bi,83,208.9804,1.48,3.642758,48.0,0.942362,11.9,0.182377,1.9,HUZWJNNJLVULAM-UHFFFAOYSA-N
AJECUO,Bi,83,208.9804,1.48,3.642758,48.0,0.942362,11.9,0.182377,1.9,HUZWJNNJLVULAM-UHFFFAOYSA-N
AKAPUX,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,KVFIJIWMDBAGDP-UHFFFAOYSA-N
AKAQEI,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,KVFIJIWMDBAGDP-UHFFFAOYSA-N
AKAROT01,Ni,28,58.6934,1.24,3.8199385,49.0,1.156,11.13,0.1472068,1.91,MWVTWFVJZLCBMC-UHFFFAOYSA-N
AKEBAV,Zn,30,65.38,1.22,,38.67,,9.395,0.15515179999999998,1.65,XLLIUDMGQNPRJS-UHFFFAOYSA-N
AKEBUP,Ag,47,107.8682,1.45,3.788117,55.0,1.3019999999999998,11.05,0.1472165,1.93,BQHOWNPIAIDSCM-UHFFFAOYSA-N
AKECAW,Ag,47,107.8682,1.45,3.788117,55.0,1.3019999999999998,11.05,0.1472165,1.93,BQHOWNPIAIDSCM-UHFFFAOYSA-N
AKEGUT,Zn,30,65.38,1.22,,38.67,,9.395,0.15515179999999998,1.65,BNYKOHYCHTWHKB-UHFFFAOYSA-N
AKIKOW,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,MWVTWFVJZLCBMC-UHFFFAOYSA-N
AKIMIS,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,BUZYDSOKOUHPTK-UHFFFAOYSA-N
AKINAK,Au,79,196.966569,1.36,4.6127765,36.0,2.30863,11.33,0.26137,2.4,VILCJCGEZXAXTO-UHFFFAOYSA-N
ALARIO,Zn,30,65.38,1.22,,38.67,,9.395,0.15515179999999998,1.65,AHTPJOJUOLYQBW-UHFFFAOYSA-N
ALAVUG,Pb,82,207.2,1.46,3.7083398,47.0,0.35674316,10.97,0.17791099999999999,1.8,XCBUWPMRXHRDBE-UHFFFAOYSA-N
ALECUP,Mn,25,54.938044,1.39,,68.0,,10.34,0.1352844,1.55,SPBIYDCOCLAZFZ-UHFFFAOYSA-N
ALEDAW,Fe,26,55.845,1.32,3.9512339,62.0,0.151,10.64,0.13925320000000002,1.83,SPBIYDCOCLAZFZ-UHFFFAOYSA-N
ALICEE,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,PEUPUKDBCPLDIH-UHFFFAOYSA-N
ALISAR,Ag,47,107.8682,1.45,3.788117,55.0,1.3019999999999998,11.05,0.1472165,1.93,LYKXFSYCKWNWEZ-UHFFFAOYSA-N
ALISEV,Ag,47,107.8682,1.45,3.788117,55.0,1.3019999999999998,11.05,0.1472165,1.93,DGEZNRSVGBDHLK-UHFFFAOYSA-N
ALITUL,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,FRXUKLVVIFSLNO-UHFFFAOYSA-N
ALOKER,Fe,26,55.845,1.32,3.9512339,62.0,0.151,10.64,0.13925320000000002,1.83,WYURNTSHIVDZCO-UHFFFAOYSA-N
ALUKOI,Sm,62,150.36,1.98,,192.0,,,0.185468,1.17,GFKKWHPGLUOKLT-FOCLMDBBSA-N
ALUKUO,Eu,63,151.964,1.98,2.8351925,184.0,0.8640000000000001,,0.189935,,GFKKWHPGLUOKLT-FOCLMDBBSA-N
ALULAV,Gd,64,157.25,1.96,,158.0,,,0.1944,1.2,GFKKWHPGLUOKLT-FOCLMDBBSA-N
ALUNUQ,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,WQADWIOXOXRPLN-UHFFFAOYSA-N
ALUPAY,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,WEVYAHXRMPXWCK-UHFFFAOYSA-N
ALUPEC,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,WQADWIOXOXRPLN-UHFFFAOYSA-N
ALUPIG,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,WEVYAHXRMPXWCK-UHFFFAOYSA-N
ALUTOR,Mn,25,54.938044,1.39,,68.0,,10.34,0.1352844,1.55,HSYJXSURXZUHLO-UHFFFAOYSA-N
AMACOI,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,DUMSGFSVSQHZKK-UHFFFAOYSA-N
AMAFIE,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,WXQKWTSNBSOGGM-UHFFFAOYSA-N
AMIJOX,Pt,78,195.084,1.36,4.479415,48.0,2.128,10.16,0.25690999999999997,2.2,CAWHJQAVHZEVTJ-UHFFFAOYSA-N
AMILUF,Ni,28,58.6934,1.24,3.8199385,49.0,1.156,11.13,0.1472068,1.91,NKUFFYFOBGGDTP-UHFFFAOYSA-N
AMIPIX01,Sm,62,150.36,1.98,,192.0,,,0.185468,1.17,ZPLQIMLDMUGWIS-UHFFFAOYSA-N
AMIYUQ,Nd,60,144.242,2.01,2.7625,208.0,1.916,,0.176539,1.14,MBNDYCQCYUGGGA-UHFFFAOYSA-N
AMUBIU,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,DTUMGCJGZSNWCF-UHFFFAOYSA-N
AMUXAI,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,NKICOKXWQKFEIG-OWOJBTEDSA-N
ANCLCD,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,HSMPSHPWCOOUJH-UHFFFAOYSA-N
ANEQEQ,Ag,47,107.8682,1.45,3.788117,55.0,1.3019999999999998,11.05,0.1472165,1.93,NKUFFYFOBGGDTP-UHFFFAOYSA-N
ANERAO,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,HGYFIFXDQPTNHU-UHFFFAOYSA-N
ANIDAD,Co,27,58.933194,1.26,3.940505,55.0,0.66225646,10.86,0.14323629999999998,1.88,YKIRFVZUSXXHGB-UHFFFAOYSA-N
APASAN,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,OLXAHCQKLVGQOG-UHFFFAOYSA-N
APIREY,Ag,47,107.8682,1.45,3.788117,55.0,1.3019999999999998,11.05,0.1472165,1.93,WEVYAHXRMPXWCK-UHFFFAOYSA-N
APIROH,In,49,114.818,1.42,2.8931776,65.0,0.3,9.793,0.16423,1.78,MWVTWFVJZLCBMC-UHFFFAOYSA-N
APIXOO,Eu,63,151.964,1.98,2.8351925,184.0,0.8640000000000001,,0.189935,,OJTHNNAFYLSQLZ-UHFFFAOYSA-N
APIXUU,Tb,65,158.92535,1.94,2.9319,170.0,1.165,,0.198863,,OJTHNNAFYLSQLZ-UHFFFAOYSA-N
APIYAB,Eu,63,151.964,1.98,2.8351925,184.0,0.8640000000000001,,0.189935,,OJTHNNAFYLSQLZ-UHFFFAOYSA-N
APIYEF,Gd,64,157.25,1.96,,158.0,,,0.1944,1.2,OJTHNNAFYLSQLZ-UHFFFAOYSA-N
APIYIJ,Tb,65,158.92535,1.94,2.9319,170.0,1.165,,0.198863,,OJTHNNAFYLSQLZ-UHFFFAOYSA-N
APULEE,Ag,47,107.8682,1.45,3.788117,55.0,1.3019999999999998,11.05,0.1472165,1.93,AYNDKBLUYGZQPA-UHFFFAOYSA-N
AQAVET,Ag,47,107.8682,1.45,3.788117,55.0,1.3019999999999998,11.05,0.1472165,1.93,ALYNCZNDIQEVRV-UHFFFAOYSA-N
AQOFUI,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,ZOCJJXFFDQZWMV-UHFFFAOYSA-N
AQOROP,Zn,30,65.38,1.22,,38.67,,9.395,0.15515179999999998,1.65,AROOKROCRGRZSY-UHFFFAOYSA-N
AQUWOZ,Co,27,58.933194,1.26,3.940505,55.0,0.66225646,10.86,0.14323629999999998,1.88,YGBGJGYEURGFQE-UHFFFAOYSA-N
AREWOL,Ir,77,192.217,1.41,4.48351,54.0,1.5638,9.96,0.25106,2.2,OSSNTDFYBPYIEC-UHFFFAOYSA-N
ARICIN,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,DGEZNRSVGBDHLK-UHFFFAOYSA-N
ARODOB,Ag,47,107.8682,1.45,3.788117,55.0,1.3019999999999998,11.05,0.1472165,1.93,MGAYNTZIKNMPMO-UHFFFAOYSA-N
ARONEC,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,QCNDLFQKKMPZKH-UHFFFAOYSA-N
ARUJED,Mn,25,54.938044,1.39,,68.0,,10.34,0.1352844,1.55,QCNMASIUPOIFDH-UHFFFAOYSA-N
ARUKIH02,Pr,59,140.90766,2.03,2.7365,216.0,0.9620000000000001,,0.17207999999999998,1.13,LFYHZZDPIJIJMU-UHFFFAOYSA-N
ASACON,Zn,30,65.38,1.22,,38.67,,9.395,0.15515179999999998,1.65,LMULKKMGPJIFSA-UHFFFAOYSA-N
ASALEL,Zn,30,65.38,1.22,,38.67,,9.395,0.15515179999999998,1.65,JKJJFRREJHCIGB-ONEGZZNKSA-N
ASEGEK,U,92,238.02891,1.96,,129.0,,,0.13207,1.7,LJKKNYOYGLYDTE-UHFFFAOYSA-N
ASELIT,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,WEVYAHXRMPXWCK-UHFFFAOYSA-N
ASOHUL,V,23,50.9415,1.53,3.3730935,87.0,0.525,9.062999999999999,0.12733440000000001,1.63,FDTQOZYHNDMJCM-UHFFFAOYSA-N
ASOVEL,Ca,20,40.078,1.76,3.0565776,160.8,0.02455,6.1129999999999995,0.1154119,1.0,ZMXDDKWLCZADIW-UHFFFAOYSA-N
ASUCIC,Ag,47,107.8682,1.45,3.788117,55.0,1.3019999999999998,11.05,0.1472165,1.93,VWSRHOIRMGHAPR-UHFFFAOYSA-N
ASUCIC01,Ag,47,107.8682,1.45,3.788117,55.0,1.3019999999999998,11.05,0.1472165,1.93,VWSRHOIRMGHAPR-UHFFFAOYSA-N
ASUCIC02,Ag,47,107.8682,1.45,3.788117,55.0,1.3019999999999998,11.05,0.1472165,1.93,VWSRHOIRMGHAPR-UHFFFAOYSA-N
ASUCOI,Ag,47,107.8682,1.45,3.788117,55.0,1.3019999999999998,11.05,0.1472165,1.93,VWSRHOIRMGHAPR-UHFFFAOYSA-N
ASUCOI01,Ag,47,107.8682,1.45,3.788117,55.0,1.3019999999999998,11.05,0.1472165,1.93,VWSRHOIRMGHAPR-UHFFFAOYSA-N
ASUCOI02,Ag,47,107.8682,1.45,3.788117,55.0,1.3019999999999998,11.05,0.1472165,1.93,VWSRHOIRMGHAPR-UHFFFAOYSA-N
ASUQAI,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,LUYISICIYVKBTA-UHFFFAOYSA-N
ASUQAI01,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,LUYISICIYVKBTA-UHFFFAOYSA-N
ASUQAI02,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,LUYISICIYVKBTA-UHFFFAOYSA-N
ASUQAI03,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,LUYISICIYVKBTA-UHFFFAOYSA-N
ASUQAI04,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,LUYISICIYVKBTA-UHFFFAOYSA-N
ASUQAI05,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,LUYISICIYVKBTA-UHFFFAOYSA-N
ASUQAI06,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,LUYISICIYVKBTA-UHFFFAOYSA-N
ASUQAI07,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,LUYISICIYVKBTA-UHFFFAOYSA-N
ASUQAI08,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,LUYISICIYVKBTA-UHFFFAOYSA-N
ASUQAI09,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,LUYISICIYVKBTA-UHFFFAOYSA-N
ASUQAI10,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,LUYISICIYVKBTA-UHFFFAOYSA-N
ASUQAI11,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,LUYISICIYVKBTA-UHFFFAOYSA-N
ASUQAI12,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,LUYISICIYVKBTA-UHFFFAOYSA-N
ASUQAI13,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,LUYISICIYVKBTA-UHFFFAOYSA-N
ASUQAI14,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,LUYISICIYVKBTA-UHFFFAOYSA-N
ASUQAI15,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,LUYISICIYVKBTA-UHFFFAOYSA-N
ASUQAI16,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,LUYISICIYVKBTA-UHFFFAOYSA-N
ASUQAI17,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,LUYISICIYVKBTA-UHFFFAOYSA-N
ASUQAI18,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,LUYISICIYVKBTA-UHFFFAOYSA-N
ASUQAI19,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,LUYISICIYVKBTA-UHFFFAOYSA-N
ASUQAI20,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,LUYISICIYVKBTA-UHFFFAOYSA-N
ASUQAI21,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,LUYISICIYVKBTA-UHFFFAOYSA-N
ATAFIK,Zn,30,65.38,1.22,,38.67,,9.395,0.15515179999999998,1.65,HELNIXJAVZRTCG-UHFFFAOYSA-N
ATAGEH,Co,27,58.933194,1.26,3.940505,55.0,0.66225646,10.86,0.14323629999999998,1.88,UOJZYBFRNITHCX-UHFFFAOYSA-N
ATAGIL,Ni,28,58.6934,1.24,3.8199385,49.0,1.156,11.13,0.1472068,1.91,UOJZYBFRNITHCX-UHFFFAOYSA-N
ATEBEI,Yb,70,173.054,1.87,3.12708,139.0,-0.02,,0.22119,,DGEZNRSVGBDHLK-UHFFFAOYSA-N
ATEKAN,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,PTRATZCAGVBFIQ-UHFFFAOYSA-N
ATIKET,Dy,66,162.5,1.92,2.969525,163.0,0.35200000000000004,,0.20332999999999998,1.22,OWHUSUFTBDLEKG-UHFFFAOYSA-N
ATILOG,Mn,25,54.938044,1.39,,68.0,,10.34,0.1352844,1.55,UXTFKIJKRJJXNV-UHFFFAOYSA-N
ATILOG01,Mn,25,54.938044,1.39,,68.0,,10.34,0.1352844,1.55,UXTFKIJKRJJXNV-UHFFFAOYSA-N
ATIMAT,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,IGLXWYOYPZQNTF-UHFFFAOYSA-N
