model,time_day,dataset,batching_type,batching_round_to_64,batch_size,computing_type,iteration,experiment_completed,submission_path,path,recompilation_counter,step_100000_train_rmse,step_100000_val_rmse,step_100000_test_rmse,step_100000_batching_time_mean,step_100000_update_time_mean,step_100000_batching_time_median,step_100000_update_time_median
MPEU,11_26_37__23_12_2024,qm9,dynamic,True,16,gpu_a100,0,True,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_0/profiling_job.sh,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_0/profiling_job.sh,1,0.36574211,0.35897661,0.37600975,0.0006503221321105957,0.0024653152894973753,0.0006415843963623047,0.002409696578979492
MPEU,11_26_37__23_12_2024,qm9,dynamic,True,16,gpu_a100,1,True,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_1/profiling_job.sh,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_1/profiling_job.sh,1,0.31856265,0.31623597,0.2320569,0.0006428906846046448,0.002469588270187378,0.0006351470947265625,0.002414226531982422
MPEU,11_26_37__23_12_2024,qm9,dynamic,True,16,gpu_a100,2,True,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_2/profiling_job.sh,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_2/profiling_job.sh,1,0.34268778,0.33397723,0.34273002,0.0006542337656021118,0.0025089633107185363,0.0006458759307861328,0.0024547576904296875
MPEU,11_26_37__23_12_2024,qm9,dynamic,True,16,gpu_a100,3,True,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_3/profiling_job.sh,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_3/profiling_job.sh,1,0.2736296,0.34932227,0.37167092,0.0006414330887794495,0.002447817659378052,0.0006341934204101562,0.002395153045654297
MPEU,11_26_37__23_12_2024,qm9,dynamic,True,16,gpu_a100,4,True,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_4/profiling_job.sh,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_4/profiling_job.sh,1,0.2427405,0.2413138,0.33249075,0.0006507779788970947,0.0024566190481185913,0.0006430149078369141,0.0024063587188720703
MPEU,11_26_37__23_12_2024,qm9,dynamic,True,16,gpu_a100,5,True,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_5/profiling_job.sh,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_5/profiling_job.sh,1,0.35047914,0.34103854,0.3556083,0.0006438275790214539,0.0024527264022827146,0.0006361007690429688,0.0024039745330810547
MPEU,11_26_37__23_12_2024,qm9,dynamic,True,16,gpu_a100,6,True,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_6/profiling_job.sh,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_6/profiling_job.sh,1,0.2395517,0.32079441,0.32657079,0.0006517733931541442,0.0024612026715278624,0.000644683837890625,0.0024039745330810547
MPEU,11_26_37__23_12_2024,qm9,dynamic,True,16,gpu_a100,7,True,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_7/profiling_job.sh,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_7/profiling_job.sh,1,0.33901183,0.32868862,0.34314548,0.0006361986637115479,0.0024434831762313843,0.0006284713745117188,0.002382516860961914
MPEU,11_26_37__23_12_2024,qm9,dynamic,True,16,gpu_a100,8,True,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_8/profiling_job.sh,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_8/profiling_job.sh,1,0.32468142,0.31924024,0.32563894,0.0006396448302268982,0.0024350221347808837,0.0006310939788818359,0.002386331558227539
MPEU,11_26_37__23_12_2024,qm9,dynamic,True,16,gpu_a100,9,True,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_9/profiling_job.sh,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_9/profiling_job.sh,1,0.36268561,0.35160153,0.36499918,0.0006558742952346802,0.0024581047677993775,0.0006480216979980469,0.002409696578979492
MPEU,11_26_37__23_12_2024,qm9,dynamic,True,16,cpu,0,True,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/cpu/iteration_0/profiling_job.sh,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/cpu/iteration_0/profiling_job.sh,1,0.34985186,0.34271529,0.36062278,0.0009318786334991455,0.03267494382858276,0.0009303092956542969,0.03260636329650879
MPEU,11_26_37__23_12_2024,qm9,dynamic,True,16,cpu,1,True,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/cpu/iteration_1/profiling_job.sh,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/cpu/iteration_1/profiling_job.sh,1,0.34985186,0.34271529,0.36062278,0.0009519925594329834,0.03259153776168823,0.0009527206420898438,0.03251910209655762
MPEU,11_26_37__23_12_2024,qm9,dynamic,True,16,cpu,2,True,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/cpu/iteration_2/profiling_job.sh,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/cpu/iteration_2/profiling_job.sh,1,0.34985186,0.34271529,0.36062278,0.0009251051950454712,0.032368380434513094,0.00092315673828125,0.03230118751525879
MPEU,11_26_37__23_12_2024,qm9,dynamic,True,16,cpu,3,True,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/cpu/iteration_3/profiling_job.sh,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/cpu/iteration_3/profiling_job.sh,1,0.34985186,0.34271529,0.36062278,0.0009385605692863464,0.03247577678203583,0.0009388923645019531,0.032393693923950195
MPEU,11_26_37__23_12_2024,qm9,dynamic,True,16,cpu,4,True,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/cpu/iteration_4/profiling_job.sh,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/cpu/iteration_4/profiling_job.sh,1,0.34985186,0.34271529,0.36062278,0.0009134439873695374,0.03242440708875656,0.0009090900421142578,0.03236031532287598
MPEU,11_26_37__23_12_2024,qm9,dynamic,True,16,cpu,5,True,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/cpu/iteration_5/profiling_job.sh,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/cpu/iteration_5/profiling_job.sh,1,0.34985186,0.34271529,0.36062278,0.0009383096408843994,0.032650590023994445,0.0009369850158691406,0.032579660415649414
MPEU,11_26_37__23_12_2024,qm9,dynamic,True,16,cpu,6,True,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/cpu/iteration_6/profiling_job.sh,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/cpu/iteration_6/profiling_job.sh,1,0.34985186,0.34271529,0.36062278,0.000930289876461029,0.032561707894802096,0.0009300708770751953,0.03248310089111328
MPEU,11_26_37__23_12_2024,qm9,dynamic,True,16,cpu,7,True,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/cpu/iteration_7/profiling_job.sh,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/cpu/iteration_7/profiling_job.sh,1,0.34985186,0.34271529,0.36062278,0.0009318428730964661,0.03264503625392914,0.0009305477142333984,0.03256845474243164
MPEU,11_26_37__23_12_2024,qm9,dynamic,True,16,cpu,8,True,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/cpu/iteration_8/profiling_job.sh,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/cpu/iteration_8/profiling_job.sh,1,0.34985186,0.34271529,0.36062278,0.0009215378618240357,0.032667729365825654,0.0009198188781738281,0.03259110450744629
MPEU,11_26_37__23_12_2024,qm9,dynamic,True,16,cpu,9,True,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/cpu/iteration_9/profiling_job.sh,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/cpu/iteration_9/profiling_job.sh,1,0.34985186,0.34271529,0.36062278,0.0009418941378593445,0.03259725896120071,0.0009419918060302734,0.0325164794921875
MPEU,11_26_37__23_12_2024,qm9,dynamic,True,32,gpu_a100,0,True,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/32/gpu_a100/iteration_0/profiling_job.sh,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/32/gpu_a100/iteration_0/profiling_job.sh,1,0.65236552,0.6554308,0.6521138,0.0010310960268974305,0.0031082896733283997,0.0010139942169189453,0.0030486583709716797
MPEU,11_26_37__23_12_2024,qm9,dynamic,True,32,gpu_a100,1,True,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/32/gpu_a100/iteration_1/profiling_job.sh,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/32/gpu_a100/iteration_1/profiling_job.sh,1,0.62182124,0.62499542,0.62239637,0.001028065881729126,0.0031377247476577757,0.0010111331939697266,0.003065347671508789
