model,time_day,dataset,batching_type,batching_round_to_64,batch_size,computing_type,iteration,experiment_completed,submission_path,path,recompilation_counter,step_2_000_000_batching_time_mean,step_2_000_000_update_time_mean,step_2_000_000_batching_time_median,step_2_000_000_update_time_median,step_100_000_train_rmse,step_100_000_val_rmse,step_100_000_test_rmse,step_200_000_train_rmse,step_200_000_val_rmse,step_200_000_test_rmse,step_300_000_train_rmse,step_300_000_val_rmse,step_300_000_test_rmse,step_400_000_train_rmse,step_400_000_val_rmse,step_400_000_test_rmse,step_500_000_train_rmse,step_500_000_val_rmse,step_500_000_test_rmse,step_600_000_train_rmse,step_600_000_val_rmse,step_600_000_test_rmse,step_700_000_train_rmse,step_700_000_val_rmse,step_700_000_test_rmse,step_800_000_train_rmse,step_800_000_val_rmse,step_800_000_test_rmse,step_900_000_train_rmse,step_900_000_val_rmse,step_900_000_test_rmse,step_1_000_000_train_rmse,step_1_000_000_val_rmse,step_1_000_000_test_rmse,step_1_100_000_train_rmse,step_1_100_000_val_rmse,step_1_100_000_test_rmse,step_1_200_000_train_rmse,step_1_200_000_val_rmse,step_1_200_000_test_rmse,step_1_300_000_train_rmse,step_1_300_000_val_rmse,step_1_300_000_test_rmse,step_1_400_000_train_rmse,step_1_400_000_val_rmse,step_1_400_000_test_rmse,step_1_500_000_train_rmse,step_1_500_000_val_rmse,step_1_500_000_test_rmse,step_1_600_000_train_rmse,step_1_600_000_val_rmse,step_1_600_000_test_rmse,step_1_700_000_train_rmse,step_1_700_000_val_rmse,step_1_700_000_test_rmse,step_1_800_000_train_rmse,step_1_800_000_val_rmse,step_1_800_000_test_rmse,step_1_900_000_train_rmse,step_1_900_000_val_rmse,step_1_900_000_test_rmse,step_2_000_000_train_rmse,step_2_000_000_val_rmse,step_2_000_000_test_rmse
MPEU,,qm9,static,True,16,cpu,1,nan,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/static/round_True/16/cpu/iteration_1/profiling_job.sh,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPEU,,qm9,static,True,16,cpu,2,nan,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/static/round_True/16/cpu/iteration_2/profiling_job.sh,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPEU,,qm9,static,True,16,cpu,3,nan,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/static/round_True/16/cpu/iteration_3/profiling_job.sh,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPEU,,qm9,static,True,16,cpu,4,nan,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/static/round_True/16/cpu/iteration_4/profiling_job.sh,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPEU,,qm9,static,True,16,cpu,5,nan,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/static/round_True/16/cpu/iteration_5/profiling_job.sh,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPEU,,qm9,static,True,16,cpu,6,nan,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/static/round_True/16/cpu/iteration_6/profiling_job.sh,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPEU,,qm9,static,True,16,cpu,7,nan,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/static/round_True/16/cpu/iteration_7/profiling_job.sh,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPEU,,qm9,static,True,16,cpu,8,nan,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/static/round_True/16/cpu/iteration_8/profiling_job.sh,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPEU,,qm9,static,True,16,cpu,9,nan,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/static/round_True/16/cpu/iteration_9/profiling_job.sh,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPEU,09_29_46__19_01_2025,qm9,static,True,32,gpu_a100,0,True,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/static/round_True/32/gpu_a100/iteration_0/profiling_job.sh,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/static/round_True/32/gpu_a100/iteration_0/profiling_job.sh,104,0.000768370187283,0.002973703436613,0.000744342803955,0.002825498580933,0.2821844,0.38873964,0.3922659,0.32159839,0.32166641,0.31810579,0.1682811,0.1676484,0.22071644,0.14971598,0.14900765,0.15690941,0.26768732,0.26693382,0.27240995,0.09489848,0.09486168,0.10070099,0.10744435,0.11696834,0.10960959,0.0659711,0.09642362,0.0674628,0.08292391,0.09753412,0.08802647,0.0744078,0.08474927,0.08134534,0.08223192,0.08758215,0.08805001,0.06880846,0.08225928,0.07438553,0.05374507,0.0703971,0.06250536,0.0586349,0.06860243,0.06741867,0.04844524,0.06365153,0.05881882,0.05124094,0.06143189,0.06222014,0.0345342,0.05646107,0.05896849,0.04823888,0.05886151,0.05730391,0.05168793,0.06155543,0.06062948,0.0462118,0.06599025,0.06684081
