,compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,Egap,catalog,nspecies
0,Pt4Yb4,aflow:a7634f582aafb904,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Pt1Yb1_ICSD_649871,62,oP8,0.0101,ICSD,2
1,Pt4Yb4,aflow:34e019ec63ae11ca,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Pt1Yb1_ICSD_105847,62,oP8,0.0111,ICSD,2
2,O30V16,aflow:adbf767994c54edf,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TRI/O15V8_ICSD_98711,2,aP46,0.0166,ICSD,2
3,Se2Ti1,aflow:49194c177fb39709,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Se2Ti1_ICSD_173923,164,hP3,0.0233,ICSD,2
4,O4Pb2,aflow:649e930cf5f6349d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/O2Pb1_ICSD_647262,136,tP6,0.0235,ICSD,2
5,O4Pb2,aflow:de9b786f4e4d5d8d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/O2Pb1_ICSD_23292,136,tP6,0.0235,ICSD,2
6,O4Pb2,aflow:59936ae84a1ba75d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/O2Pb1_ICSD_34234,136,tP6,0.0236,ICSD,2
7,O4Pb2,aflow:66e125e4727d42dd,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/O2Pb1_ICSD_647279,136,tP6,0.0236,ICSD,2
8,O4Pb2,aflow:c688f0fb5f40a834,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/O2Pb1_ICSD_43460,136,tP6,0.0236,ICSD,2
9,O4Pb2,aflow:a7ce8ccb0d37d0b6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/O2Pb1_ICSD_647277,136,tP6,0.0237,ICSD,2
10,Ca2P6,aflow:947a3f3e1afa555f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TRI/Ca1P3_ICSD_74479,2,aP8,0.024,ICSD,2
11,Ge4Os2,aflow:dfead6a86268c557,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCLC/Ge2Os1_ICSD_43690,12,mS12,0.0253,ICSD,2
12,Cl8W2,aflow:b3f845468594c8cb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCLC/Cl4W1_ICSD_165263,12,mS20,0.0259,ICSD,2
13,Ca8Pb4,aflow:6dac966aaf0e3e8d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ca2Pb1_ICSD_58920,62,oP12,0.0263,ICSD,2
14,O4Sn2,aflow:aaf6d6c5192b6cbd,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/O2Sn1_ICSD_262769,136,tP6,0.0266,ICSD,2
15,Ge4Yb8,aflow:17a194558bbd3139,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ge1Yb2_ICSD_96115,62,oP12,0.0271,ICSD,2
16,Se2Ti1,aflow:9c8a309e02d8d0da,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Se2Ti1_ICSD_43617,164,hP3,0.028,ICSD,2
17,O4Sn2,aflow:3b1d6571fe8edfe8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/O2Sn1_ICSD_56674,136,tP6,0.029,ICSD,2
18,O6V4,aflow:a38aae6f61ebf197,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/O3V2_ICSD_1874,167,hR10,0.0291,ICSD,2
19,Ba8Pb4,aflow:49794598e6dda14d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ba2Pb1_ICSD_416561,62,oP12,0.0299,ICSD,2
20,O6V4,aflow:c9548265ca8d1820,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/O3V2_ICSD_25780,167,hR10,0.0301,ICSD,2
21,As8Ce4,aflow:c6a53eb31d9dd127,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/As2Ce1_ICSD_609997,14,mP12,0.0309,ICSD,2
22,O6V4,aflow:6ee2a97d7d3a7b48,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/O3V2_ICSD_95761,167,hR10,0.0311,ICSD,2
23,As8Nd4,aflow:9a0953784f1350c6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/As2Nd1_ICSD_1730,14,mP12,0.0316,ICSD,2
24,O6V4,aflow:3b3125ee3912df21,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/O3V2_ICSD_201108,167,hR10,0.0317,ICSD,2
25,O6V4,aflow:8d68e0cdec640e7d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/O3V2_ICSD_95760,167,hR10,0.032,ICSD,2
26,O6V4,aflow:08505ca62020c5a8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/O3V2_ICSD_201109,167,hR10,0.0322,ICSD,2
27,Sb2Te3,aflow:00ba827b1e89c584,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/Sb2Te3_ICSD_185952,166,hR5,0.0323,ICSD,2
28,Se1Sn1,aflow:2673ed6462927188,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Se1Sn1_ICSD_76032,225,cF8,0.0324,ICSD,2
29,Se1Sn1,aflow:57b75e00d1aa2af6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Se1Sn1_ICSD_52424,225,cF8,0.0324,ICSD,2
30,O6V4,aflow:4574b7c4e58494f5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/O3V2_ICSD_647629,167,hR10,0.0325,ICSD,2
31,O6V4,aflow:23f4d068459c00dd,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/O3V2_ICSD_647636,167,hR10,0.0326,ICSD,2
32,Al2Ru1,aflow:942ebb3965166f22,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Al2Ru1_ICSD_609234,139,tI6,0.0326,ICSD,2
33,O6V4,aflow:a750e0fd53a80910,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/O3V2_ICSD_1871,167,hR10,0.0327,ICSD,2
34,O6V4,aflow:0db21f8cb75d64d7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/O3V2_ICSD_94768,167,hR10,0.0328,ICSD,2
35,O6V4,aflow:4f89e351d37db0aa,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/O3V2_ICSD_201106,167,hR10,0.0334,ICSD,2
36,Bi4Te3,aflow:d0c8c5f82f99a91f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/Bi4Te3_ICSD_30526,166,hR7,0.0334,ICSD,2
37,Sb2Te3,aflow:42bf13fe1a324d87,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/Sb2Te3_ICSD_262171,166,hR5,0.0335,ICSD,2
38,O6V4,aflow:0248c48cd285888d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/O3V2_ICSD_647614,167,hR10,0.0336,ICSD,2
39,O6V4,aflow:6880bfaebc0ddc66,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/O3V2_ICSD_1870,167,hR10,0.034,ICSD,2
40,O6V4,aflow:4e9c9414ec410552,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/O3V2_ICSD_64796,167,hR10,0.0346,ICSD,2
41,O6V4,aflow:4c0a99c591273b57,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/O3V2_ICSD_1873,167,hR10,0.0361,ICSD,2
42,O6V4,aflow:0ebccd8804122b26,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/O3V2_ICSD_201107,167,hR10,0.0373,ICSD,2
43,Pb2S2,aflow:f033126f63d554e4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Pb1S1_ICSD_183244,194,hP4,0.0373,ICSD,2
44,O6V4,aflow:2b38af4293d61ae2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/O3V2_ICSD_1872,167,hR10,0.0376,ICSD,2
45,O6V4,aflow:582961cb55e4c5cb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/O3V2_ICSD_1869,167,hR10,0.0377,ICSD,2
46,O6V4,aflow:aa307d08eec57888,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/O3V2_ICSD_64786,167,hR10,0.0377,ICSD,2
47,O6V4,aflow:916378a4f56517d6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/O3V2_ICSD_1473,167,hR10,0.0378,ICSD,2
48,Sb2Te3,aflow:347e404a9570ede2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/Sb2Te3_ICSD_185948,166,hR5,0.0381,ICSD,2
49,Ge1Se1,aflow:736d8e730dd9c794,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ge1Se1_ICSD_53906,225,cF8,0.041,ICSD,2
50,Se2Ti1,aflow:f75a478f75117b89,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Se2Ti1_ICSD_652037,164,hP3,0.0414,ICSD,2
51,Se2Ti1,aflow:93296cd53f9aa07f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Se2Ti1_ICSD_108739,164,hP3,0.0422,ICSD,2
52,Er6H18,aflow:632df8942cc49153,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Er1H3_ICSD_630658,165,hP24,0.0428,ICSD,2
53,Er6H18,aflow:52d72045e608a565,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Er1H3_ICSD_187369,165,hP24,0.0436,ICSD,2
54,Sb2Te3,aflow:f2321a85129ba488,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/Sb2Te3_ICSD_185949,166,hR5,0.0436,ICSD,2
55,Sb2Te3,aflow:082d7966ef84bfd2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/Sb2Te3_ICSD_2084,166,hR5,0.0445,ICSD,2
56,Sb2Te3,aflow:36cf58161ffd32d4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/Sb2Te3_ICSD_185951,166,hR5,0.0479,ICSD,2
57,Cs3Ga9,aflow:8f6bf0d11b2cdfe8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Cs1Ga3_ICSD_102863,119,tI24,0.0486,ICSD,2
58,Dy1N1,aflow:8f3e0c3e671cf4a9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Dy1N1_ICSD_106594,225,cF8,0.049,ICSD,2
59,Dy1N1,aflow:6b5f65b705743973,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Dy1N1_ICSD_44775,225,cF8,0.0491,ICSD,2
60,Dy1N1,aflow:61dbfa9e69f7c7b7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Dy1N1_ICSD_629961,225,cF8,0.0493,ICSD,2
61,Dy1N1,aflow:54bea68fd4e4bc93,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Dy1N1_ICSD_629962,225,cF8,0.0498,ICSD,2
62,Dy1N1,aflow:a4d109f7c1a3c8f1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Dy1N1_ICSD_76482,225,cF8,0.0498,ICSD,2
63,Dy1N1,aflow:8c32f446f94298d1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Dy1N1_ICSD_169206,225,cF8,0.0505,ICSD,2
64,Se2Ti1,aflow:9b2b2efc0000e252,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Se2Ti1_ICSD_652045,164,hP3,0.0511,ICSD,2
65,Dy1N1,aflow:2f0589cb30e75d8f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Dy1N1_ICSD_169221,225,cF8,0.052,ICSD,2
66,Nd8Te12,aflow:244294bf93cea381,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Nd2Te3_ICSD_280889,62,oP20,0.0523,ICSD,2
67,Se2Ti1,aflow:cb2253a529e6ddd7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Se2Ti1_ICSD_80091,164,hP3,0.0527,ICSD,2
68,O4Sn2,aflow:79046d547b8f4440,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/O2Sn1_ICSD_56676,58,oP6,0.0531,ICSD,2
69,O4Sn2,aflow:740c2b815f335317,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/O2Sn1_ICSD_189464,58,oP6,0.0543,ICSD,2
70,Sb2Te3,aflow:7ab6b99ba82dd19b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/Sb2Te3_ICSD_185945,166,hR5,0.0547,ICSD,2
71,C4Os2,aflow:b4516ac24679ccfb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/C2Os1_ICSD_168280,194,hP6,0.0549,ICSD,2
72,Ba8Sn4,aflow:9e9071780449728b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ba2Sn1_ICSD_416562,62,oP12,0.0551,ICSD,2
73,As8Pr4,aflow:9ae670af5d5362af,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/As2Pr1_ICSD_611219,14,mP12,0.0552,ICSD,2
74,Te10Zr2,aflow:ed3579f560e92d40,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Te5Zr1_ICSD_657473,63,oS24,0.0569,ICSD,2
75,Se2Ti1,aflow:2709dced0f148376,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Se2Ti1_ICSD_56010,164,hP3,0.0572,ICSD,2
76,Cu2I2,aflow:dd077f7eece6db09,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/Cu1I1_ICSD_78266,166,hR4,0.0572,ICSD,2
77,Se2Ti1,aflow:11537f898ddb0018,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Se2Ti1_ICSD_652040,164,hP3,0.0578,ICSD,2
78,Se2Ti1,aflow:acdfa57239935390,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Se2Ti1_ICSD_26862,164,hP3,0.0583,ICSD,2
79,B6Si1,aflow:e1beedd24e5a90f9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/B6Si1_ICSD_20240,221,cP7,0.0585,ICSD,2
80,Ge20Ir16,aflow:dbeb15013f366ff2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ge5Ir4_ICSD_43053,116,tP36,0.0602,ICSD,2
81,Te10Zr2,aflow:03873de3c96d2777,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Te5Zr1_ICSD_85507,63,oS24,0.0605,ICSD,2
82,As8La4,aflow:09120e1bba280e27,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/As2La1_ICSD_610769,14,mP12,0.061,ICSD,2
83,Cu8O6,aflow:90dc7b173838b3dc,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Cu4O3_ICSD_77675,141,tI28,0.0611,ICSD,2
84,K12Tl12,aflow:db786f0efb505b27,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/K1Tl1_ICSD_262067,64,oS48,0.0627,ICSD,2
85,Cd8Sb8,aflow:f12d2cf430a66068,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Cd1Sb1_ICSD_52831,61,oP16,0.0638,ICSD,2
86,Cu8O6,aflow:71514f83c2839e8e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Cu4O3_ICSD_100566,141,tI28,0.0653,ICSD,2
87,Br12Tc4,aflow:f86191d167babdf5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Br3Tc1_ICSD_260162,59,oP16,0.066,ICSD,2
88,Sb2Te3,aflow:a3e0ee07c426234b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/Sb2Te3_ICSD_185946,166,hR5,0.0686,ICSD,2
89,Se2Ti1,aflow:cbf68a1bb95f88af,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Se2Ti1_ICSD_652047,164,hP3,0.0688,ICSD,2
90,Cr8S12,aflow:221c73ab948a87bb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Cr2S3_ICSD_16720,163,hP20,0.0704,ICSD,2
91,Si1Sn1,aflow:43573d159f0bba7f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Si1Sn1_ICSD_184676,216,cF8,0.0717,ICSD,2
92,Se2Ti1,aflow:99c64d02be9dee59,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Se2Ti1_ICSD_603599,164,hP3,0.0717,ICSD,2
93,O18Ti10,aflow:f8d64c232440df41,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TRI/O18Ti10_ICSD_31400,2,aP28,0.0718,ICSD,2
94,Ir8Se16,aflow:37c15694125a7b6e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ir1Se2_ICSD_654007,62,oP24,0.072,ICSD,2
95,I12Zr6,aflow:3b8b16d5d0e14622,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/I12Zr6_ICSD_35145,148,hR18,0.0731,ICSD,2
96,Au1Rb1,aflow:5651bdf75cf895a8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Au1Rb1_ICSD_58428,221,cP2,0.0736,ICSD,2
97,K12Tl12,aflow:fd15526c0bc9d70d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/K1Tl1_ICSD_262063,64,oS48,0.0736,ICSD,2
98,Sn1Te1,aflow:2294be78072d2ebf,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Sn1Te1_ICSD_652749,225,cF8,0.0744,ICSD,2
99,Sn1Te1,aflow:7d8d14144643eef5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Sn1Te1_ICSD_652742,225,cF8,0.0744,ICSD,2
100,Sn1Te1,aflow:8b6125f1fb0d7b16,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Sn1Te1_ICSD_652760,225,cF8,0.0744,ICSD,2
101,Sn1Te1,aflow:45d28c5b965889d3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Sn1Te1_ICSD_652746,225,cF8,0.0745,ICSD,2
102,Sn1Te1,aflow:55151fd4ca91cad7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Sn1Te1_ICSD_601065,225,cF8,0.0745,ICSD,2
103,Sn1Te1,aflow:65ba1beafab847d4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Sn1Te1_ICSD_600865,225,cF8,0.0745,ICSD,2
104,Sn1Te1,aflow:6d60f6885c64ff0f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Sn1Te1_ICSD_652759,225,cF8,0.0745,ICSD,2
105,Sn1Te1,aflow:75a0f62659215894,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Sn1Te1_ICSD_600813,225,cF8,0.0745,ICSD,2
106,Sn1Te1,aflow:bd73ebd11bfff18e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Sn1Te1_ICSD_652744,225,cF8,0.0745,ICSD,2
107,Sn1Te1,aflow:0b617a60a3ae256e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Sn1Te1_ICSD_652750,225,cF8,0.0746,ICSD,2
108,Sn1Te1,aflow:1e1d37693d8bcbba,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Sn1Te1_ICSD_652755,225,cF8,0.0746,ICSD,2
109,Sn1Te1,aflow:2171b120852f0511,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Sn1Te1_ICSD_652751,225,cF8,0.0746,ICSD,2
110,Sn1Te1,aflow:6291dbd13e2a1723,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Sn1Te1_ICSD_652763,225,cF8,0.0746,ICSD,2
111,Sn1Te1,aflow:7894b66087251323,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Sn1Te1_ICSD_652741,225,cF8,0.0746,ICSD,2
112,Sn1Te1,aflow:8796838bcad9c3d2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Sn1Te1_ICSD_652754,225,cF8,0.0746,ICSD,2
113,Sn1Te1,aflow:a8445d40eb265875,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Sn1Te1_ICSD_652761,225,cF8,0.0746,ICSD,2
114,Sn1Te1,aflow:afccb7893173de50,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Sn1Te1_ICSD_652753,225,cF8,0.0746,ICSD,2
115,Sn1Te1,aflow:ce7a09c3c4e232a9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Sn1Te1_ICSD_652756,225,cF8,0.0746,ICSD,2
116,Sn1Te1,aflow:01d48cbcf163579b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Sn1Te1_ICSD_652745,225,cF8,0.0747,ICSD,2
117,Sn1Te1,aflow:13e3d03ca28ef02a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Sn1Te1_ICSD_52489,225,cF8,0.0747,ICSD,2
118,Sn1Te1,aflow:3175640418dd6575,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Sn1Te1_ICSD_652752,225,cF8,0.0747,ICSD,2
119,Sn1Te1,aflow:9dcb3f69f6e5c546,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Sn1Te1_ICSD_604177,225,cF8,0.0747,ICSD,2
120,Sn1Te1,aflow:c7385dfa34dd967a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Sn1Te1_ICSD_600136,225,cF8,0.0747,ICSD,2
121,O18Ti10,aflow:90fddedd5e1b67c1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TRI/O18Ti10_ICSD_31401,2,aP28,0.0749,ICSD,2
122,Te10Zr2,aflow:8cb1beb74def3819,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Te5Zr1_ICSD_602282,63,oS24,0.0752,ICSD,2
123,Ir8Se16,aflow:40b66f23bbdda981,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ir1Se2_ICSD_640985,62,oP24,0.0758,ICSD,2
124,Ge4S4,aflow:359b4e02800501b6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ge1S1_ICSD_38165,59,oP8,0.076,ICSD,2
125,Te10Zr2,aflow:52e8ff4a109bdf54,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Te5Zr1_ICSD_653228,63,oS24,0.0764,ICSD,2
126,Dy2P10,aflow:488eec3d24385b5e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/Dy1P5_ICSD_409184,11,mP12,0.0768,ICSD,2
127,Se2Ti1,aflow:7b4e652218954a17,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Se2Ti1_ICSD_652052,164,hP3,0.0769,ICSD,2
128,Te10Zr2,aflow:8dc5ec677c86a7aa,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Te5Zr1_ICSD_85506,63,oS24,0.0773,ICSD,2
129,Ce4P20,aflow:59be3c6136c4067c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/Ce1P5_ICSD_621759,11,mP24,0.0776,ICSD,2
130,Cr4S6,aflow:dc033116cf74efe1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/Cr2S3_ICSD_16721,148,hR10,0.0789,ICSD,2
131,In16Te12,aflow:ae6bbef1ad7d5b3d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/In4Te3_ICSD_182790,58,oP28,0.0796,ICSD,2
132,In16Te12,aflow:90173a8ecb968df5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/In4Te3_ICSD_182783,58,oP28,0.0806,ICSD,2
133,In16Te12,aflow:192211757930c969,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/In4Te3_ICSD_41972,58,oP28,0.0811,ICSD,2
134,In16Te12,aflow:e07dec9f413cf1a3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/In4Te3_ICSD_182787,58,oP28,0.0822,ICSD,2
135,In16Te12,aflow:d71efecf49b6ea16,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/In4Te3_ICSD_182781,58,oP28,0.0826,ICSD,2
136,Te10Zr2,aflow:444a11f1b1f8d3e4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Te5Zr1_ICSD_653212,63,oS24,0.0848,ICSD,2
137,Ho1N1,aflow:1b62b5bdfb67caeb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ho1N1_ICSD_44776,225,cF8,0.0851,ICSD,2
138,Ho1N1,aflow:246a89ff9d7ffd15,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ho1N1_ICSD_56228,225,cF8,0.0851,ICSD,2
139,Ho1N1,aflow:4205a8ba6dbc7dfc,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ho1N1_ICSD_639437,225,cF8,0.0851,ICSD,2
140,Ho1N1,aflow:6b7db2a633ae15a2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ho1N1_ICSD_639433,225,cF8,0.0851,ICSD,2
141,Sb24Sr16,aflow:7aad6fad05f5c553,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/Sb3Sr2_ICSD_32033,14,mP40,0.0853,ICSD,2
142,Ho1N1,aflow:a9c235a30043d9f0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ho1N1_ICSD_187359,225,cF8,0.0855,ICSD,2
143,Ag4O2,aflow:eb2fa277fe91d842,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag2O1_ICSD_174087,224,cP6,0.0857,ICSD,2
144,Ho1N1,aflow:427343e52e422912,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ho1N1_ICSD_169207,225,cF8,0.0858,ICSD,2
145,Ag8Se4,aflow:50d758690f47354d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ag2Se1_ICSD_15213,19,oP12,0.0858,ICSD,2
146,Ho2P10,aflow:a8a62b10da5087f4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/Ho1P5_ICSD_409185,11,mP12,0.0858,ICSD,2
147,Cd8Sb8,aflow:5c113965048a8067,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Cd1Sb1_ICSD_620394,61,oP16,0.0862,ICSD,2
148,Ag4O2,aflow:31947a49a0b028ed,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag2O1_ICSD_174092,224,cP6,0.0865,ICSD,2
149,Cd8Sb8,aflow:05576cef0ae5c875,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Cd1Sb1_ICSD_620395,61,oP16,0.0867,ICSD,2
150,Ag4O2,aflow:9017e82281c8a57f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag2O1_ICSD_246904,224,cP6,0.0867,ICSD,2
