,compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,Egap,catalog,nspecies
875,Cd1S1,aflow:a253a2586145008d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd1S1_ICSD_620316,225,cF8,0.4118,ICSD,2
876,Cd1S1,aflow:792df473182fc7a2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd1S1_ICSD_108230,225,cF8,0.4119,ICSD,2
877,O24Yb16,aflow:19c689c8220bf982,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/O3Yb2_ICSD_647665,206,cI80,0.4123,ICSD,2
878,Pb4S4,aflow:f6e1d257e18543fc,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Pb1S1_ICSD_183253,38,oS16,0.4145,ICSD,2
879,Ru8Si16,aflow:78c3b920d14fe247,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ru1Si2_ICSD_154012,64,oS48,0.4152,ICSD,2
880,Cd2S2,aflow:36944ad29da03b55,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Cd1S1_ICSD_600773,59,oP4,0.4161,ICSD,2
881,Co6S8,aflow:604a5af11be8dfeb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Co3S4_ICSD_56125,227,cF56,0.4197,ICSD,2
882,Co6S8,aflow:2f6415b4c0c3c006,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Co3S4_ICSD_31095,227,cF56,0.4199,ICSD,2
883,Bi16K16,aflow:2c28fe9058c38757,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/Bi1K1_ICSD_55065,14,mP32,0.4206,ICSD,2
884,Rb6Te6,aflow:d79a03157e67bd5a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Rb2Te2_ICSD_73179,189,hP12,0.4213,ICSD,2
885,Co6S8,aflow:dfb16e8761e37d46,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Co3S4_ICSD_25560,227,cF56,0.4223,ICSD,2
886,Co6S8,aflow:fc935b1788e1f07a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Co3S4_ICSD_624840,227,cF56,0.4223,ICSD,2
887,As6Cs4,aflow:1c7fffac88966065,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCF/As6Cs4_ICSD_409382,69,oF40,0.4232,ICSD,2
888,Co6S8,aflow:5fc8bd1d5434baa3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Co3S4_ICSD_106489,227,cF56,0.4234,ICSD,2
889,Co6S8,aflow:fa93c9d0ff7ea2cf,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Co3S4_ICSD_24212,227,cF56,0.4234,ICSD,2
890,As12Ba6,aflow:8be3c027f1eb8ebe,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/As2Ba1_ICSD_414139,7,mP18,0.4235,ICSD,2
891,Gd8S12,aflow:1999de87cec0fa0e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Gd2S3_ICSD_33785,62,oP20,0.424,ICSD,2
892,Pb16Rb16,aflow:049b9c798ae57d03,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Pb4Rb4_ICSD_409436,142,tI64,0.4251,ICSD,2
893,O16Sb8,aflow:1b268abf9488a7b0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O4Sb2_ICSD_24244,227,cF96,0.4271,ICSD,2
894,Os4S8,aflow:e201b1a54427e6e6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Os1S2_ICSD_300224,205,cP12,0.4272,ICSD,2
895,Cs4Te16,aflow:8a7fa1a75b3b7cbd,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/Cs1Te4_ICSD_47182,14,mP20,0.429,ICSD,2
896,In4Se4,aflow:05284245bdc38dd9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/In1Se1_ICSD_640490,194,hP8,0.4294,ICSD,2
897,In4Se4,aflow:a6f01255fd4989eb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/In1Se1_ICSD_640513,194,hP8,0.4301,ICSD,2
898,Fe2Se2,aflow:b7d6595c8a9ba994,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Fe1Se1_ICSD_290411,67,oS8,0.4301,ICSD,2
899,P20Yb4,aflow:31a9151ab0ac91d8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/P5Yb1_ICSD_409180,4,mP24,0.4312,ICSD,2
900,In4Se4,aflow:dae3f1e2658479e4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/In1Se1_ICSD_185172,194,hP8,0.4332,ICSD,2
901,O10Ta4,aflow:f655cf59d480aaef,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/O5Ta2_ICSD_236386,47,oP7,0.4338,ICSD,2
902,O10Ta4,aflow:32c04500d9562c3f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/O5Ta2_ICSD_95462,47,oP7,0.4342,ICSD,2
903,Cl16Nb6,aflow:bd04bc08425df883,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Cl8Nb3_ICSD_408645,164,hP22,0.4342,ICSD,2
904,Os4S8,aflow:2b175b03ba74a223,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Os1S2_ICSD_647749,205,cP12,0.4352,ICSD,2
905,S2Sn2,aflow:95e0b65dc3bc03ea,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/S1Sn1_ICSD_100672,63,oS8,0.4365,ICSD,2
906,Mg1Te1,aflow:634010f2eadb562d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mg1Te1_ICSD_168346,225,cF8,0.4374,ICSD,2
907,Os4S8,aflow:f6265aa4bdc1e418,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Os1S2_ICSD_56020,205,cP12,0.4386,ICSD,2
908,In8O12,aflow:78df7c857a1e0aa9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/In2O3_ICSD_181836,62,oP20,0.439,ICSD,2
909,Ge4Se4,aflow:117ffd9716aef92f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ge1Se1_ICSD_25831,62,oP8,0.4396,ICSD,2
910,Pb1S1,aflow:d74c784545078775,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pb1S1_ICSD_648441,225,cF8,0.4406,ICSD,2
911,As4Te6,aflow:b06a1c5d31a4202c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCLC/As2Te3_ICSD_54097,12,mS20,0.4436,ICSD,2
912,As4Te6,aflow:255ddc26e5d7e2ba,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCLC/As2Te3_ICSD_18208,12,mS20,0.4437,ICSD,2
913,As4Te6,aflow:6dcba49ce66e7652,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCLC/As2Te3_ICSD_30981,12,mS20,0.4437,ICSD,2
914,Os4S8,aflow:11111cfac1bbfe20,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Os1S2_ICSD_24187,205,cP12,0.4444,ICSD,2
